MP_id,Formula,Phase,Decomposition Energy,Band Gap,Formation Energy per atom,Structure,A_Ion_rad,A_BP,A_MP,A_Density,A_At_wt,A_Elec_Aff,A_Ion_Energy,A_Heat_fusion,A_Heat_vap,A_Electronegativity,A_At_num,A_Period,B_Ion_rad,B_BP,B_MP,B_Density,B_At_wt,B_Elec_Aff,B_Ion_Energy,B_Heat_fusion,B_Heat_vap,B_Electronegativity,B_At_num,B_Period,X_Ion_rad,X_BP,X_MP,X_Density,X_At_wt,X_Elec_Aff,X_Ion_Energy,X_Heat_fusion,X_Heat_vap,X_Electronegativity,X_At_num,X_Period,A Site,B Site,X Site
mp-28534,CaInBr3,Orthorhombic,-2.686631458,2.8725,-1.874968473,"Full Formula (Ca2 In2 Br6)
Reduced Formula: CaInBr3
abc   :   4.266793   7.372794  10.888324
angles:  90.000000  90.000000 106.819681
pbc   :       True       True       True
Sites (10)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Ca    0.5       -0         0               -0
  1  Ca    0.5       -0         0.5             -0
  2  In    0.761687   0.523374  0.75             0
  3  In    0.238313   0.476626  0.25             0
  4  Br    0.864618   0.729236  0.453088        -0
  5  Br    0.135382   0.270764  0.546912        -0
  6  Br    0.135382   0.270764  0.953088        -0
  7  Br    0.864618   0.729236  0.046912        -0
  8  Br    0.431343   0.862685  0.75             0
  9  Br    0.568657   0.137315  0.25             0",1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,0.8,2350,429.78,7.31,114.82,29,558.3,3.26,226.335,1.78,49,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4,Ca,In,Br
mp-1206105,CaInI3,Orthorhombic,-2.20950268,2.7835,-1.406692406,"Full Formula (Ca2 In2 I6)
Reduced Formula: CaInI3
abc   :   7.911488   7.911488  11.725476
angles:  90.000000  90.000000 146.057506
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0         0         0               -0
  1  Ca    0         0         0.5             -0
  2  In    0.248316  0.751684  0.25            -0
  3  In    0.751684  0.248316  0.75            -0
  4  I     0.637222  0.362778  0.055355         0
  5  I     0.362778  0.637222  0.944645         0
  6  I     0.362778  0.637222  0.555355         0
  7  I     0.637222  0.362778  0.444645         0
  8  I     0.919997  0.080003  0.25            -0
  9  I     0.080003  0.919997  0.75            -0",1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,0.8,2350,429.78,7.31,114.82,29,558.3,3.26,226.335,1.78,49,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5,Ca,In,I
mp-1205521,CaTlBr3,Orthorhombic,-0.15048092,3.7234,-1.867418968,"Full Formula (Ca2 Tl2 Br6)
Reduced Formula: CaTlBr3
abc   :   7.406002   7.406002  10.875641
angles:  90.000000  90.000000 146.570363
pbc   :       True       True       True
Sites (10)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Ca    0         -0         0               -0
  1  Ca    0         -0         0.5             -0
  2  Tl    0.256679   0.743321  0.25            -0
  3  Tl    0.743321   0.256679  0.75            -0
  4  Br    0.634876   0.365124  0.050787        -0
  5  Br    0.365124   0.634876  0.949213        -0
  6  Br    0.365124   0.634876  0.550787        -0
  7  Br    0.634876   0.365124  0.449213        -0
  8  Br    0.932208   0.067792  0.25             0
  9  Br    0.067792   0.932208  0.75             0",1.59,1746,577,11.85,204.383,30,589.3,4.27,162.09,2.04,81,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4,Tl,Ca,Br
mp-998151,CaTlCl3,Monoclinic,-0.342228138,4.1784,-2.187154795,"Full Formula (Ca1 Tl1 Cl3)
Reduced Formula: CaTlCl3
abc   :   5.400074   5.400074   5.397680
angles:  89.986582  89.986582  90.023888
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.505417  0.505417  0.484648         0
  1  Tl    0.007814  0.007814  0.002696        -0
  2  Cl    0.503313  0.00476   0.481743        -0
  3  Cl    0.492979  0.492979  0.984635        -0
  4  Cl    0.00476   0.503313  0.481743         0",1.59,1746,577,11.85,204.383,30,589.3,4.27,162.09,2.04,81,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3,Tl,Ca,Cl
mp-998787,CaTlCl3,Orthorhombic,-0.536003623,3.9835,-2.225909892,"Full Formula (Ca2 Tl2 Cl6)
Reduced Formula: CaTlCl3
abc   :   4.070889   7.075985  10.338729
angles:  90.000000  90.000000 106.797054
pbc   :       True       True       True
Sites (10)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Ca     2e-06     3e-06      0.25001          0
  1  Ca    -2e-06     0.999997   0.75001          0
  2  Tl     0.256897  0.516728  -1e-06            0
  3  Tl     0.743102  0.483272   0.499999         0
  4  Cl     0.367313  0.735243   0.297198        -0
  5  Cl     0.632688  0.264756   0.797197        -0
  6  Cl     0.367313  0.735244   0.702802         0
  7  Cl     0.632685  0.264755   0.202802         0
  8  Cl     0.936206  0.872035   7e-06           -0
  9  Cl     0.063793  0.127964   0.500007        -0",1.59,1746,577,11.85,204.383,30,589.3,4.27,162.09,2.04,81,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3,Tl,Ca,Cl
mp-1097061,CaTlF3,Monoclinic,0.090511698,4.4565,-3.265298777,"Full Formula (Ca1 Tl1 F3)
Reduced Formula: CaTlF3
abc   :   4.510865   4.510865   4.508624
angles:  89.927037  89.927037  89.962853
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.500945  0.500945  0.512624         0
  1  Tl    0.008227  0.008227  0.00614          0
  2  F     0.000421  0.498494  0.516903        -0
  3  F     0.488499  0.488499  0.013053        -0
  4  F     0.498494  0.000421  0.516903        -0",1.59,1746,577,11.85,204.383,30,589.3,4.27,162.09,2.04,81,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.33,85,53.55,1.696,18.9984,328,1681,0.26,3.2698,3.98,9,2,Tl,Ca,F
mp-998150,CaTlF3,Orthorhombic,-0.098647536,4.4564,-3.303130624,"Full Formula (Ca1 Tl1 F3)
Reduced Formula: CaTlF3
abc   :   4.470460   4.470460   4.450060
angles:  90.000000  90.000000  90.340135
pbc   :       True       True       True
Sites (5)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Ca    0.508967  0.491033   0          -0
  1  Tl    0.052135  0.947865   0.5        -0
  2  F     0.471131  0.994917  -0           0
  3  F     0.475526  0.524474   0.5        -0
  4  F     0.005083  0.528869   0           0",1.59,1746,577,11.85,204.383,30,589.3,4.27,162.09,2.04,81,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.33,85,53.55,1.696,18.9984,328,1681,0.26,3.2698,3.98,9,2,Tl,Ca,F
mp-998615,CaTlF3,Trigonal,0.184370097,4.6281,-3.246527098,"Full Formula (Ca2 Tl2 F6)
Reduced Formula: CaTlF3
abc   :   6.256543   6.256543   6.256544
angles:  60.443349  60.443346  60.443352
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.00798   0.00798   0.00798          0
  1  Ca    0.50798   0.50798   0.50798          0
  2  Tl    0.268323  0.268323  0.268323        -0
  3  Tl    0.768323  0.768323  0.768323        -0
  4  F     0.238127  0.813085  0.700983        -0
  5  F     0.813085  0.700983  0.238127        -0
  6  F     0.700983  0.238127  0.813085        -0
  7  F     0.200983  0.313085  0.738127        -0
  8  F     0.738127  0.200983  0.313085        -0
  9  F     0.313085  0.738127  0.200983        -0",1.59,1746,577,11.85,204.383,30,589.3,4.27,162.09,2.04,81,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.33,85,53.55,1.696,18.9984,328,1681,0.26,3.2698,3.98,9,2,Tl,Ca,F
mp-1206188,CaTlI3,Orthorhombic,0.081965425,3.2511,-1.497099276,"Full Formula (Ca2 Tl2 I6)
Reduced Formula: CaTlI3
abc   :   7.925340   7.925340  11.651785
angles:  90.000000  90.000000 146.419851
pbc   :       True       True       True
Sites (10)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Ca    -0         0         -0                0
  1  Ca    -0         0          0.5              0
  2  Tl     0.255359  0.744641   0.25             0
  3  Tl     0.744641  0.255359   0.75             0
  4  I      0.636823  0.363177   0.055503         0
  5  I      0.363177  0.636823   0.944497         0
  6  I      0.363177  0.636823   0.555503         0
  7  I      0.636823  0.363177   0.444497         0
  8  I      0.925117  0.074883   0.25            -0
  9  I      0.074883  0.925117   0.75            -0",1.59,1746,577,11.85,204.383,30,589.3,4.27,162.09,2.04,81,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5,Tl,Ca,I
mp-1206910,CoAgF3,Cubic,1.128727918,0,-1.629735726,"Full Formula (Co1 Ag1 F3)
Reduced Formula: CoAgF3
abc   :   4.044962   4.044962   4.044962
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Co    0    0    0       2.783
  1  Ag    0.5  0.5  0.5     0.002
  2  F     0.5  0    0       0.069
  3  F     0    0.5  0       0.069
  4  F     0    0    0.5     0.069",1.15,2436,1235.08,10.5,107.868,125.7,731,11.3,250.63,1.93,47,5,0.65,3143,1768,8.9,58.9332,70,758,16.19,373.3,1.88,27,4,1.33,85,53.55,1.696,18.9984,328,1681,0.26,3.2698,3.98,9,2,Ag,Co,F
